002622    ,0000154      ,双栓烟盒            ,19.80  ,8.00 
000229    ,0001243      ,20头华玉花色饭具    ,25.70  ,1.00 
000146    ,0001762      ,9号华玉1259花斗碗   ,5.00   ,0.00 
014364    ,00021771     ,35g双汇王中王       ,0.90   ,0.00 
016198    ,00021951     ,55G*5双汇泡椒福美王 ,3.00   ,0.00 
016815    ,00022000     ,1条含昭封扁鱼       ,12.50  ,0.00 
017181    ,00022027     ,140克双汇湘家红     ,1.50   ,0.00 
013331    ,00052182     ,B61689戴丝立收腹裤  ,65.00  ,2.00 
013332    ,00052183     ,B71033戴丝立收腹裤  ,69.00  ,0.00 
013333    ,00052184     ,B81098戴丝立收腹裤  ,59.00  ,0.00 
013334    ,00052185     ,B81099戴丝玉收腹裤  ,69.00  ,5.00 
013335    ,00052186     ,B81127戴丝玉收腹裤  ,65.00  ,0.00 
013336    ,00052187     ,B81172戴丝玉收腹裤  ,59.00  ,14.00
013337    ,00052188     ,B81173戴丝玉收腹裤  ,65.00  ,0.00 
013338    ,00052189     ,D61671戴丝玉美      ,198.00 ,4.00 
013339    ,00052190     ,D71060戴丝玉美      ,128.00 ,2.00 
013340    ,00052191     ,D71061戴丝玉美      ,218.00 ,3.00 
013341    ,00052192     ,D81135戴丝玉美      ,298.00 ,3.00 
013342    ,00052193     ,L51648戴丝玉内裤    ,36.00  ,0.00 
013343    ,00052194     ,L61668戴丝玉内裤    ,17.10  ,0.00 
013344    ,00052195     ,L71054戴丝玉内裤    ,38.00  ,6.00 
013345    ,00052196     ,L71055戴丝玉内裤    ,38.00  ,8.00 
013346    ,00052197     ,L81115戴丝玉内裤    ,35.00  ,0.00 
013347    ,00052198     ,L81118戴丝玉内裤    ,45.00  ,2.00 
013348    ,00052199     ,L81131戴丝玉内裤    ,38.00  ,0.00 
013349    ,00052200     ,L81146戴丝玉内裤    ,39.00  ,0.00 
013350    ,00052201     ,L81157戴丝玉内裤    ,32.00  ,12.00
013351    ,00052202     ,L81158戴丝玉内裤    ,35.00  ,15.00
013352    ,00052203     ,R51647戴丝玉文胸    ,86.00  ,2.00 
013353    ,00052204     ,R51896戴丝玉文胸    ,82.00  ,5.00 
013354    ,00052205     ,R61509戴丝玉文胸    ,79.00  ,9.00 
013355    ,00052206     ,R61668戴丝玉文胸    ,89.00  ,20.00
013356    ,00052207     ,R81098戴丝玉文胸    ,135.00 ,26.00
013357    ,00052208     ,R81116戴丝玉文胸    ,79.00  ,13.00
013358    ,00052209     ,R81117戴丝玉文胸    ,115.00 ,21.00
013359    ,00052210     ,R811118戴丝玉文胸   ,125.00 ,13.00
013360    ,00052211     ,R81119戴丝玉文胸    ,119.00 ,26.00
013361    ,00052212     ,r81131戴丝玉文胸    ,88.00  ,30.00
013362    ,00052213     ,R81146戴丝玉文胸    ,89.00  ,12.00
013363    ,00052214     ,R81147戴丝玉文胸    ,86.00  ,8.00 
013364    ,00052215     ,R81161戴丝玉文胸    ,79.00  ,1.00 
014253    ,00053339     ,L71020黛丝玉内裤    ,39.00  ,13.00
014254    ,00053340     ,R71021B/C黛丝玉文胸 ,96.00  ,24.00
014548    ,00053356     ,68*68梦之语靠垫芯   ,42.80  ,46.00
014549    ,00053357     ,1.8米梦之语倾城爱   ,1080.00,0.00 
014550    ,00053358     ,1.8米梦之语浪漫有   ,1560.00,0.00 
014552    ,00053359     ,1.8米梦之语英伦漫   ,1620.00,0.00 
014564    ,00053360     ,R81122戴丝玉文胸    ,99.00  ,16.00
014565    ,00053361     ,L81139戴丝玉内裤    ,36.00  ,7.00 
014566    ,00053362     ,B71035戴丝玉收腹裤  ,65.00  ,0.00 
014567    ,00053363     ,B71045戴丝玉收腹裤  ,49.00  ,8.00 
014568    ,00053364     ,R81115戴丝玉文胸    ,89.00  ,12.00
014929    ,00053383     ,8105穗得美女式睡衣  ,59.80  ,1.00 
014930    ,00053384     ,940穗得美女式睡衣   ,59.80  ,0.00 
014931    ,00053385     ,969穗得美女式睡衣   ,54.00  ,0.00 
014932    ,00053386     ,991穗得美女式睡衣   ,59.80  ,0.00 
014933    ,00053387     ,939穗得美女式睡衣   ,54.00  ,0.00 
014934    ,00053388     ,8099穗得美女式睡衣  ,65.00  ,0.00 
014935    ,00053389     ,1744兰花仙子长袖    ,65.00  ,0.00 
014936    ,00053390     ,8906莎丽微女式长    ,72.00  ,0.00 
014937    ,00053391     ,8921莎丽微女式长    ,72.00  ,0.00 
014938    ,00053392     ,8908莎丽微女式长    ,72.00  ,0.00 
014939    ,00053393     ,2717莎丽微女式长    ,65.00  ,0.00 
015037    ,00053397     ,1*1.35红豆儿童毛毯  ,75.00  ,4.00 
015038    ,00053398     ,1.5*2.0红豆儿童毛毯 ,120.00 ,1.00 
015091    ,00053399     ,200*230情人草婚庆被 ,298.00 ,4.00 
015092    ,00053400     ,150*200情人草春秋被 ,118.00 ,22.00
015093    ,00053401     ,1.5米情人草床垫     ,198.00 ,5.00 
015094    ,00053402     ,1.8米情人草床垫     ,208.00 ,7.00 
015095    ,00053403     ,200*230情人草       ,880.00 ,7.00 
015096    ,00053404     ,200*230红豆毛毯     ,498.00 ,1.00 
015097    ,00053405     ,200*230情人草春秋被 ,148.00 ,4.00 
015099    ,00053406     ,1.8米梦之语爱慕十   ,1360.00,1.00 
015100    ,00053407     ,1.8米梦之语凤舞九   ,1460.00,3.00 
015101    ,00053408     ,梦之语高级定型枕芯  ,48.00  ,0.00 
015102    ,00053409     ,8807/8808鲨         ,196.00 ,5.00 
015103    ,00053410     ,9805/7081鲨         ,208.00 ,2.00 
015104    ,00053411     ,K50/7170鲨鱼        ,218.00 ,4.00 
015105    ,00053412     ,家嘉纳豪华羊毛汽车垫,1650.00,2.00 
015106    ,00053413     ,鑫荣昌羊毛汽车垫    ,460.00 ,0.00 
015111    ,00053414     ,30131穗得美男式     ,59.80  ,0.00 
015112    ,00053415     ,8221兰花仙子男式    ,52.60  ,0.00 
015113    ,00053416     ,8851兰花仙子男式    ,52.60  ,0.00 
015114    ,00053417     ,8208兰花仙子男式    ,52.60  ,0.00 
015119    ,00053422     ,HDCSK323好穿        ,22.90  ,5.00 
015125    ,00053426     ,60*60锦锻八卦图     ,31.00  ,16.00
015126    ,00053427     ,45*45锦锻八卦图     ,15.00  ,87.00
015154    ,00053443     ,学生卡通枕          ,15.00  ,6.00 
015161    ,00053448     ,爱立希47寸液晶电视  ,46.80  ,1.00 
015163    ,00053449     ,爱立希立柜式空调套  ,45.00  ,0.00 
015212    ,00053463     ,威尼裤(童裤)        ,16.00  ,0.00 
015213    ,00053464     ,众健细彩条童衫      ,18.00  ,6.00 
015214    ,00053465     ,哈尼贴布米字衫      ,22.00  ,0.00 
015215    ,00053466     ,哈尼火车童衫        ,22.00  ,2.00 
015216    ,00053467     ,哈尼小狗童衫        ,24.00  ,14.00
015217    ,00053468     ,神童帽衫            ,26.00  ,4.00 
015218    ,00053469     ,小熊帽衫            ,22.80  ,3.00 
015219    ,00053470     ,米杰小子童衫        ,19.80  ,2.00 
015220    ,00053471     ,米杰小子苹果衫      ,22.00  ,7.00 
015221    ,00053472     ,众健高领套衫        ,17.00  ,33.00
015222    ,00053473     ,奥特曼/羽同牛仔童装 ,96.00  ,1.00 
015223    ,00053474     ,6218都市小金贝童装  ,98.00  ,3.00 
015224    ,00053475     ,6216都市小金贝童装  ,108.00 ,4.00 
015225    ,00053476     ,羽同童装            ,82.00  ,1.00 
015226    ,00053477     ,杰山兄弟牛仔童装    ,56.00  ,2.00 
015227    ,00053478     ,杰山兄弟儿童牛仔装  ,62.00  ,3.00 
015228    ,00053479     ,男七虹保罗儿童T恤   ,28.00  ,1.00 
015229    ,00053480     ,女七虹保罗T恤       ,31.50  ,4.00 
015230    ,00053481     ,七虹飘马T恤         ,36.00  ,0.00 
015231    ,00053482     ,老鹰童裤            ,20.00  ,1.00 
015232    ,00053483     ,背靠背童裤          ,19.00  ,0.00 
015233    ,00053484     ,0826小可可线衫      ,55.00  ,4.00 
015234    ,00053485     ,陈剑线衫            ,38.80  ,0.00 
015235    ,00053486     ,0824衣尔曼克线衫    ,56.00  ,2.00 
015236    ,00053487     ,1288时尚线衫        ,62.00  ,9.00 
015237    ,00053488     ,1290时尚线衫        ,58.00  ,0.00 
015238    ,00053489     ,1295时尚女童线衫    ,58.00  ,7.00 
015239    ,00053490     ,0828衣尔曼克线衫    ,62.00  ,0.00 
015240    ,00053491     ,0818衣尔曼克线衫    ,56.00  ,0.00 
015241    ,00053492     ,1280衣尔曼克线衫    ,56.00  ,3.00 
015242    ,00053493     ,507米兰奇芭线衫     ,56.00  ,3.00 
015243    ,00053494     ,鑫雨贝缔线衫        ,46.00  ,1.00 
015244    ,00053495     ,索玛线衫            ,42.00  ,1.00 
015245    ,00053496     ,0832儿童线衫        ,46.00  ,3.00 
015246    ,00053497     ,2081儿童线衫        ,46.00  ,0.00 
015247    ,00053498     ,秋叶线衫            ,42.00  ,3.00 
015248    ,00053499     ,2211儿童短袖线衫    ,26.00  ,0.00 
015249    ,00053500     ,皮皮仔线衫          ,42.00  ,0.00 
015250    ,00053501     ,513线衫             ,48.00  ,3.00 
015251    ,00053502     ,童色年华线衫        ,23.00  ,0.00 
015252    ,00053503     ,8056儿童背心        ,29.00  ,0.00 
015253    ,00053504     ,小松仔线衫          ,26.00  ,1.00 
015254    ,00053505     ,512儿童线衫         ,49.80  ,1.00 
015255    ,00053506     ,2085儿童线衫        ,46.00  ,2.00 
015256    ,00053507     ,1.8米柏琳天丝四件套 ,1080.00,6.00 
015257    ,00053508     ,1.8米柏琳贡锻六件套 ,528.00 ,0.00 
015258    ,00053509     ,1.5米柏琳装饰花四   ,438.00 ,3.00 
015260    ,00053510     ,2805与狼共舞休闲裤  ,98.00  ,5.00 
015261    ,00053511     ,2808与狼共舞休闲裤  ,108.00 ,6.00 
015262    ,00053512     ,2812与狼共舞休闲裤  ,108.00 ,3.00 
015263    ,00053513     ,2806与狼共舞休闲裤  ,108.00 ,1.00 
015264    ,00053514     ,2826与狼共舞休闲裤  ,118.00 ,1.00 
015265    ,00053515     ,2827与狼共舞休闲裤  ,118.00 ,11.00
015266    ,00053516     ,2824与狼共舞休闲裤  ,118.00 ,5.00 
015267    ,00053517     ,2821与狼共舞休闲裤  ,118.00 ,8.00 
015268    ,00053518     ,2828与狼共舞休闲裤  ,116.00 ,5.00 
015269    ,00053519     ,8157威尔世休闲裤    ,116.00 ,2.00 
015270    ,00053520     ,2825与狼共舞休闲裤  ,118.00 ,6.00 
015279    ,00053521     ,200*230卓彩长羊毛被 ,480.00 ,14.00
015280    ,00053522     ,大江儿童猫帽        ,9.80   ,11.00
015281    ,00053523     ,童悦坊海盗帽        ,9.80   ,9.00 
015282    ,00053524     ,开心兔帽            ,8.00   ,42.00
015283    ,00053525     ,大江拉毛绒帽        ,6.80   ,14.00
